Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
66682867,2009-08-27 22:33:37.0000008,17.3,2009-08-27 22:33:37 UTC,-74.04732766180123,40.6725001276344,-74.06886842081087,40.64738433829313,1
57755036,2012-02-26 17:08:31.0000008,17.0,2012-02-26 17:08:31 UTC,-74.03901187845149,40.6820345153452,-74.02888913018123,40.694180487612535,1
57882282,2013-06-10 02:36:41.0000001,14.2,2013-06-10 02:36:41 UTC,-74.00921479447106,40.67519325198655,-74.0075772557116,40.62132726069807,1
22081788,2013-02-02 02:54:44.0000005,7.5,2013-02-02 02:54:44 UTC,-74.04371872166895,40.666722236042204,-74.04940346286634,40.63541189562543,1
14315092,2012-09-16 20:23:04.0000004,12.9,2012-09-16 20:23:04 UTC,-73.99780499536264,40.772666909703055,-74.03067364751294,40.74987287486129,1
36788921,2014-08-01 23:32:36.0000008,14.3,2014-08-01 23:32:36 UTC,-73.98196995816751,40.81323840342516,-73.98807877713303,40.81254523579028,1
27735830,2015-06-11 00:35:26.0000002,10.3,2015-06-11 00:35:26 UTC,-73.99424802878053,40.71639756093174,-73.98258854682523,40.71038690652516,2
94410762,2014-11-14 17:41:11.0000005,6.9,2014-11-14 17:41:11 UTC,-74.07889614014597,40.78879307886721,-74.01770369081288,40.769983921277536,6
97319575,2010-02-07 00:30:38.0000007,8.8,2010-02-07 00:30:38 UTC,-74.06073508360129,40.773761037225405,-74.06592354896827,40.835175147553365,5
92090292,2012-02-11 20:43:33.0000002,9.2,2012-02-11 20:43:33 UTC,-74.06650329529393,40.6582405012251,-74.0322992170365,40.64787227610622,1
32632483,2013-08-05 15:00:58.0000007,6.2,2013-08-05 15:00:58 UTC,-73.97161080968104,40.70206322619661,-73.94765955487459,40.72887702863374,1
77737383,2011-05-25 02:47:47.0000006,13.3,2011-05-25 02:47:47 UTC,-74.05253828215324,40.7706190204917,-74.06765605257112,40.75283827058108,3
89358551,2010-07-25 00:25:50.0000004,10.1,2010-07-25 00:25:50 UTC,-73.95220218516017,40.76891871480016,-73.93566774463544,40.842088479796836,2
89409749,2011-01-17 15:37:19.0000001,21.7,2011-01-17 15:37:19 UTC,-74.13251616123883,40.66568227087555,-74.15357721109973,40.64056641435842,1
5981505,2015-03-08 10:04:45.0000002,6.0,2015-03-08 10:04:45 UTC,-73.88786556397973,40.64684992487114,-73.88235963736606,40.72650294576219,3
14953367,2011-03-15 01:58:29.0000004,9.9,2011-03-15 01:58:29 UTC,-74.06918353555128,40.75060406631138,-74.07537171924162,40.753164501769405,1
86652971,2009-09-15 21:02:58.0000008,17.8,2009-09-15 21:02:58 UTC,-74.04742118890874,40.67891061953318,-74.03156095001631,40.692676707184276,1
5521373,2009-08-11 19:53:09.0000006,6.7,2009-08-11 19:53:09 UTC,-73.91119083442418,40.71272783493586,-73.87479860717835,40.680511454784494,1
4344769,2015-04-20 14:53:10.0000006,4.7,2015-04-20 14:53:10 UTC,-73.95958585419596,40.68834171626504,-74.0010540660981,40.68129015113237,1
99750923,2012-12-31 02:43:05.0000005,11.9,2012-12-31 02:43:05 UTC,-73.94010585060461,40.68177852859183,-73.96441420699101,40.68575663789628,5
77893497,2011-11-10 02:56:02.0000008,3.7,2011-11-10 02:56:02 UTC,-73.99669830849363,40.711054373534424,-74.0571523558827,40.715185746796855,3
31349564,2013-11-03 14:06:44.0000004,12.5,2013-11-03 14:06:44 UTC,-73.96100850643657,40.739909040654545,-73.94848000379608,40.7345082544166,2
43860080,2010-05-15 23:52:12.0000001,3.4,2010-05-15 23:52:12 UTC,-74.00136553906931,40.82480630160532,-73.98293642056365,40.788214315667425,1
78751354,2012-09-05 15:05:15.0000008,10.5,2012-09-05 15:05:15 UTC,-74.01900252042178,40.6651498821975,-74.01913073696959,40.70300083469142,2
63250665,2009-01-20 10:18:38.0000007,16.7,2009-01-20 10:18:38 UTC,-74.03858043890669,40.67960599001712,-74.00443589366827,40.66042272440533,1
67209791,2013-08-06 02:21:53.0000004,9.0,2013-08-06 02:21:53 UTC,-73.90877030868097,40.68439707068735,-73.87703397209944,40.72186596545363,1
47792155,2014-10-13 09:09:26.0000007,10.2,2014-10-13 09:09:26 UTC,-73.9448336443289,40.733167340542906,-73.91191168860611,40.73739973359185,3
22498555,2009-05-03 20:46:08.0000005,8.0,2009-05-03 20:46:08 UTC,-74.06626943849895,40.66764850232444,-74.0291605342209,40.727883283407564,5
98117135,2013-10-06 13:38:14.0000005,19.6,2013-10-06 13:38:14 UTC,-73.96891578789845,40.7329091462458,-73.9629194620112,40.736485211473365,1
